0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,0.0,0.0,13.0,10.0,9.0,5.0,15.0,10.0,5.0,8.0,14.0,14.0,3.0,11.0,7.0,7.0
2,8.0,5.0,7.0,6.0,6.0,9.0,13.0,1.0,6.0,1.0,1.0,2.0,7.0,12.0,16.0,15.0
6,10.0,6.0,5.0,8.0,2.0,0.0,6.0,11.0,10.0,11.0,8.0,11.0,6.0,1.0,6.0,13.0
14,11.0,9.0,16.0,9.0,0.0,2.0,16.0,0.0,2.0,9.0,10.0,1.0,16.0,0.0,5.0,6.0
10,14.0,14.0,15.0,1.0,10.0,7.0,1.0,14.0,0.0,0.0,9.0,0.0,5.0,2.0,13.0,5.0
8,6.0,12.0,6.0,5.0,15.0,13.0,3.0,9.0,8.0,5.0,12.0,16.0,15.0,8.0,3.0,1.0
9,7.0,16.0,4.0,11.0,7.0,1.0,5.0,5.0,11.0,6.0,0.0,8.0,4.0,10.0,1.0,3.0
5,9.0,1.0,1.0,13.0,16.0,15.0,0.0,4.0,1.0,14.0,5.0,7.0,1.0,9.0,2.0,2.0
11,12.0,11.0,10.0,16.0,8.0,16.0,10.0,6.0,4.0,4.0,2.0,15.0,0.0,16.0,8.0,8.0
7,16.0,8.0,11.0,3.0,13.0,10.0,11.0,16.0,14.0,7.0,4.0,5.0,10.0,5.0,10.0,10.0
12,5.0,15.0,9.0,0.0,11.0,4.0,2.0,2.0,15.0,16.0,6.0,9.0,9.0,15.0,14.0,14.0
13,4.0,7.0,8.0,7.0,1.0,8.0,14.0,15.0,7.0,15.0,7.0,10.0,8.0,7.0,9.0,4.0
4,2.0,10.0,0.0,15.0,3.0,3.0,4.0,7.0,12.0,2.0,16.0,6.0,11.0,6.0,12.0,12.0
15,15.0,4.0,3.0,14.0,4.0,11.0,8.0,12.0,16.0,13.0,15.0,4.0,13.0,4.0,11.0,11.0
3,13.0,2.0,14.0,12.0,14.0,14.0,12.0,13.0,13.0,12.0,3.0,12.0,2.0,14.0,0.0,9.0
16,3.0,13.0,12.0,2.0,12.0,12.0,9.0,3.0,3.0,3.0,13.0,13.0,12.0,3.0,4.0,0.0
