0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,0.0,5.0,13.0,6.0,9.0,0.0,1.0,10.0,5.0,0.0,14.0,14.0,3.0,11.0,7.0,7.0
6,11.0,14.0,16.0,10.0,6.0,5.0,15.0,5.0,6.0,5.0,1.0,6.0,7.0,1.0,5.0,2.0
10,14.0,6.0,5.0,5.0,2.0,1.0,6.0,11.0,2.0,6.0,2.0,2.0,6.0,2.0,8.0,14.0
2,6.0,0.0,10.0,1.0,10.0,2.0,14.0,1.0,10.0,1.0,7.0,5.0,16.0,12.0,11.0,15.0
5,7.0,1.0,7.0,0.0,14.0,9.0,11.0,9.0,8.0,8.0,5.0,16.0,5.0,7.0,9.0,6.0
14,10.0,11.0,4.0,15.0,0.0,4.0,0.0,15.0,11.0,4.0,8.0,11.0,4.0,5.0,6.0,5.0
7,2.0,9.0,15.0,9.0,1.0,7.0,5.0,0.0,7.0,9.0,10.0,7.0,10.0,0.0,4.0,12.0
11,5.0,7.0,11.0,7.0,11.0,10.0,2.0,14.0,14.0,11.0,0.0,9.0,15.0,6.0,0.0,13.0
4,8.0,16.0,9.0,11.0,8.0,14.0,16.0,4.0,15.0,14.0,6.0,15.0,14.0,9.0,16.0,3.0
8,4.0,12.0,6.0,8.0,4.0,11.0,9.0,2.0,1.0,7.0,9.0,1.0,11.0,16.0,10.0,1.0
15,9.0,8.0,1.0,16.0,7.0,15.0,13.0,6.0,4.0,15.0,15.0,0.0,9.0,8.0,14.0,11.0
9,15.0,10.0,14.0,2.0,15.0,13.0,10.0,7.0,0.0,2.0,4.0,10.0,1.0,10.0,1.0,4.0
12,16.0,15.0,8.0,13.0,16.0,16.0,4.0,16.0,12.0,13.0,12.0,4.0,2.0,15.0,12.0,9.0
16,12.0,4.0,12.0,14.0,12.0,12.0,12.0,12.0,16.0,3.0,16.0,8.0,0.0,4.0,2.0,10.0
13,13.0,13.0,2.0,3.0,13.0,8.0,8.0,3.0,13.0,16.0,13.0,3.0,8.0,13.0,13.0,0.0
3,3.0,3.0,0.0,12.0,3.0,3.0,3.0,13.0,3.0,12.0,3.0,13.0,12.0,3.0,3.0,8.0
